,place_name,place_id,categories,number,rating,address,lat,lng,photos
339,Walt Disney World Resort,ChIJ96XKNOZ-3YgRoPEc0B85Hqc,"['amusement_park', 'tourist_attraction', 'travel_agency', 'point_of_interest', 'establishment']",216424.0,4.7,"Orlando, FL, United States",28.385233000000003,-81.563874,"[{'height': 3420, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105303505373661530610"">Hauser Quaid Zzyzx</a>'], 'photo_reference': 'CmRaAAAAi3aeLrYXGrAGfJC1B41j-5tehi3IZWVY4evJmcvy-h2o4ZSm5f7iyUEjw8tiFsI0B90XWn3bjaskmMbzz9gLPPwrVyKHkUsZMAwFoQ-ZFyxRjwhpxLFxfF7djjXa4AuHEhCbhw_SuHNJ5P9wBtjRP8TKGhQVvUBDTJccem_ytTJNQvvH1_gDSw', 'width': 2736}]"
495,Magic Kingdom Park,ChIJgUulalN-3YgRGoTaWM2LawY,"['tourist_attraction', 'amusement_park', 'point_of_interest', 'establishment']",157286.0,4.7,"Lake Buena Vista, FL 32836, United States",28.417663,-81.581212,"[{'height': 1363, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115947833826481768360"">Magic Kingdom</a>'], 'photo_reference': 'CmRaAAAA-d9ZedWGoOFYqoOTxieHlED0k1RXg1h8drfmv9nkKzVmxZuM5EQxcy6fyXOU97aPlZFI9tc1RsfZjRjtO6ScW-d65a3HaDfUNKyAGlItr3FRkCeLbsogVLWgsYgl49T0EhDKEp4Nyi20cCeZHlt2AnO1GhRHBn6FuqexI1RYikO1gxaYY5EfxA', 'width': 2048}]"
634,Universal Orlando Resort,ChIJvRBCrN9-54gRGZuuaCLGrQE,"['tourist_attraction', 'amusement_park', 'point_of_interest', 'establishment']",117556.0,4.7,"6000 Universal Blvd, Orlando, FL 32819, United States",28.4743207,-81.4678193,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103087137094082918146"">Emilio Gonzalez</a>'], 'photo_reference': 'CmRaAAAAwbqmTUwKzNkidM_Tw0t2qG9ycVOL6u_5Me7A4QIoQKY6kyGwNlvjWugbBnbwtQRaxHMSPM75d-yjteLLbxICIIg8idxoR-6jWijwWDjN-afrlH1wUedtjun00EKIO4lMEhCXD8RW0Yt2CWptU-R9N-c2GhSFBlc8mkcjs621-zNRsvggk2WVug', 'width': 4032}]"
324,Busch Gardens Tampa Bay,ChIJhRo4DU_GwogRUgjhMAj-pag,"['zoo', 'tourist_attraction', 'amusement_park', 'point_of_interest', 'establishment']",56945.0,4.6,"10165 McKinley Dr, Tampa, FL 33612, United States",28.0372251,-82.41943509999999,"[{'height': 800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104919950070600316968"">A Google User</a>'], 'photo_reference': 'CmRaAAAAS7lsD_Ocrv_ko_jyKOCaois-ZUHOWGO2MxKcz6zVkkNJvj-R0DC1ky-navtfZKcX5DiKjYReLATg3hewq4ocRL0ZvXTOg-srzhPGrZDgkRSro-6kZTr-nofrUuYr9fPUEhC3lyBcjwgaZ2ob8ctrvxESGhTyuBlMz8p8e3GujM7utkQADLDMYg', 'width': 1200}]"
650,Universal CityWalk Orlando,ChIJEyMWSOd-54gR-QBrGagmCHw,"['tourist_attraction', 'movie_theater', 'restaurant', 'food', 'point_of_interest', 'establishment']",55792.0,4.7,"6000 Universal Blvd, Orlando, FL 32819, United States",28.472989899999998,-81.46588679999998,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116303277940575810520"">Juan Angel</a>'], 'photo_reference': 'CmRaAAAAcP7bu_tLAVhr9Jq5unY286oz37eqGkfgmXl740SqNGpZ4PDnX5gA1GSsqlLJt9KXyd51TstZRd5HkbQx2ToJtgVA8zHbk2gK-VpnVazRhir-blkwrZmRM03wQSSF2rF1EhDf58Jae1RGG7GhqmKAYBN9GhQzdwEO8owwwKPQyOAUlrvWZEn2NA', 'width': 4608}]"
138,Wynwood Walls,ChIJ98BffLK22YgRsymdIvOgjNA,"['tourist_attraction', 'museum', 'park', 'point_of_interest', 'establishment']",30388.0,4.7,"2520 NW 2nd Ave, Miami, FL 33127, United States",25.8011111,-80.199525,"[{'height': 1410, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115905194049423102348"">Wynwood Walls</a>'], 'photo_reference': 'CmRaAAAABbYOVJtIxeBC3yBWpngQrHEgOnoGnj4OVyPlCTZTpjNKzKJhq0Fb2PoBaU5awZ8n3iH5xUP_xb0oJQSJXm83VGYMcCzu__U_RFrZic3tZFdQzaEvV6YHjSymUlFCTjk2EhBt2QTU5_wXtSbwqrm8zpZxGhR5ZpV-n4IgqEOzbAEJfGP62Dg9fg', 'width': 2048}]"
496,Southernmost Point of the Continental US,ChIJOcMITty20YgRUS5ZSmRFS_k,"['tourist_attraction', 'point_of_interest', 'establishment']",20148.0,4.4,"Whitehead St &, South St, Key West, FL 33040, United States",24.5465169,-81.797484,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111938855778770881217"">Gustavo Haddad Souza Vieira</a>'], 'photo_reference': 'CmRaAAAAlgLn-SYChlpqI3RGmZK2-ZbMlcHgrK6QoV8m-U7FwlahfbT65REqcD_MEeKzLLaC_BKDjXViCqvlvVuCwkf9rrOHHgw2-EOsKPgaEkUKTcQu2FjAzZmZyLMyKtj0lqnKEhCWzZf134me7Hy0yNNHgtRSGhRyJ825fqwbbMF6xFDt0GuRgvVaag', 'width': 3120}]"
470,LEGOLAND® Florida Resort,ChIJ38rlfogN3YgRGic46M9dbLw,"['amusement_park', 'point_of_interest', 'establishment']",19514.0,4.4,"1 Legoland Way, Winter Haven, FL 33884, United States",27.988918800000004,-81.691074,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113468575413573215255"">Enzro Greenidge</a>'], 'photo_reference': 'CmRaAAAA7DP6BUsjMVMZWMkPHP3818iajBUYDbur147ahmnCYG9GhVO0mlIdCUkLYa5U-ep7WmDKB4qyQu0XRuplz2PXQnTBY2AHH5u0SosCZ5Ou3Necm6tKE65qzMSqjvqPXY6qEhDkZMKLoKiKpegkbtwdbcFOGhRv37oLFRpGxjsjwJIYvTvXLlxGwg', 'width': 3024}]"
696,Universal's Volcano Bay,ChIJWdHR8wJ_54gRNNot6lDLYvk,"['tourist_attraction', 'amusement_park', 'point_of_interest', 'establishment']",14907.0,4.4,"6000 Universal Blvd, Orlando, FL 32819, United States",28.461481300000003,-81.47308659999999,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117470303895917843985"">Ken Lam</a>'], 'photo_reference': 'CmRaAAAAw0C6pvLxhO9X_C8-imltfn1jsKWFQYfNfRXT5ARG-NtZG8VUeoh9Vg7FC1R0uqYwkbne5eEjEoWhee16uR8-V850haXSykaoRj4TQPjMGi0oUByPi63teSbeEamnnYnPEhCfh7PV90C58Y2cOQ3TLZ58GhTDWsy6hn9kVr2OwQJ28EtIQUZRog', 'width': 4032}]"
352,Daytona International Speedway,ChIJk4XLpEnZ5ogRl8zItcDGhxM,"['tourist_attraction', 'point_of_interest', 'establishment']",14719.0,4.7,"1801 W International Speedway Blvd, Daytona Beach, FL 32114, United States",29.185169000000002,-81.070528,"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114972651250630950559"">Edgar Perez</a>'], 'photo_reference': 'CmRaAAAAB1LxU0XF4vjK6O2ZFDuSNHFR6R5XgtKqSY0iv6GFouFC4KPoFXLDN7GjFYqxKy2g105qOGnHs0gLczz1zT7vXKgqbF_tYSXuCf_zwxTLj5mdVjMmhBc8IuALUAzSBHdiEhB2Q6VgZaMRtq6k77VV72C9GhSuUxXYDk5iFuorWAY78XpsZlB61w', 'width': 5312}]"
723,Zoo Miami,ChIJFY7wCsjD2YgRn8R_2IMRjtw,"['zoo', 'tourist_attraction', 'park', 'point_of_interest', 'establishment']",13997.0,4.6,"12400 SW 152nd St, Miami, FL 33177, United States",25.6118809,-80.3976907,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107527389080204990642"">Ana Maria</a>'], 'photo_reference': 'CmRaAAAAKqco092ZArEacG1e4qncgCAsxSa3tGZHPYEbF-wVb9pLYX6Jr6tRBgvvTwARfMibpqYzw8HtKEXPg5BbytWVlGIsYmz7nft7sQpflN1jXxNRssM2r__sg1AvZPgcoILqEhAjSMC29MGrHX-aVlJQqtmaGhRN2lpalhtpBmAKO0HXo7OwhdfUqA', 'width': 6000}]"
