place_name,place_id,categories,number,rating,address,lat,lng,photos,tourist,museum,amusement_park,natural,tour,zoo,photo_reference,photo_url
Southernmost Point of the Continental US,ChIJOcMITty20YgRUS5ZSmRFS_k,"['tourist_attraction', 'point_of_interest', 'establishment']",20148,4.4,"Whitehead St &, South St, Key West, FL 33040, United States",24.5465169,-81.797484,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111938855778770881217"">Gustavo Haddad Souza Vieira</a>'], 'photo_reference': 'CmRaAAAAlgLn-SYChlpqI3RGmZK2-ZbMlcHgrK6QoV8m-U7FwlahfbT65REqcD_MEeKzLLaC_BKDjXViCqvlvVuCwkf9rrOHHgw2-EOsKPgaEkUKTcQu2FjAzZmZyLMyKtj0lqnKEhCWzZf134me7Hy0yNNHgtRSGhRyJ825fqwbbMF6xFDt0GuRgvVaag', 'width': 3120}]",1,0,1,0,0,0,CmRaAAAAlgLn-SYChlpqI3RGmZK2-ZbMlcHgrK6QoV8m-U7FwlahfbT65REqcD_MEeKzLLaC_BKDjXViCqvlvVuCwkf9rrOHHgw2-EOsKPgaEkUKTcQu2FjAzZmZyLMyKtj0lqnKEhCWzZf134me7Hy0yNNHgtRSGhRyJ825fqwbbMF6xFDt0GuRgvVaag,https://lh3.googleusercontent.com/p/AF1QipNQsK3OezJLHSIdZKxD1ZwJWhmVeiaEDJNU1iUK=s1600-w500-h500
The Key West Butterfly and Nature Conservatory,ChIJh8tU9ty20YgR_AeKVyGB8Hk,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",3142,4.8,"1316 Duval St, Key West, FL 33040, United States",24.5475638,-81.7968249,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107076199227608239658"">Jenny Honeycutt</a>'], 'photo_reference': 'CmRaAAAA0jxF6veosPQrpO3-ByUaxChKfUdsjYqqgS1XEn_-COGn-z117X_kLkhCLf6uRFDF4Vtt7JxrG2l7bif8p_y26iiDRtI5W8hFPkIYHjVYti93rKny7R99FpDWDnS4q3TzEhCiZTPPuUB-z8UrqOWn7sKfGhRAIRGWEHlwCPgIKBLsfTmzanqrTw', 'width': 4608}]",1,0,1,1,0,0,CmRaAAAA0jxF6veosPQrpO3-ByUaxChKfUdsjYqqgS1XEn_-COGn-z117X_kLkhCLf6uRFDF4Vtt7JxrG2l7bif8p_y26iiDRtI5W8hFPkIYHjVYti93rKny7R99FpDWDnS4q3TzEhCiZTPPuUB-z8UrqOWn7sKfGhRAIRGWEHlwCPgIKBLsfTmzanqrTw,https://lh3.googleusercontent.com/p/AF1QipMS4f4RA8v8HfEkyAmoq-41hLAZO3dLDnwwJZz9=s1600-w500-h500
Key West Lighthouse,ChIJuRKkAOi20YgR_QFzmDX3qKI,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",1421,4.5,"938 Whitehead St, Key West, FL 33040, United States",24.5506211,-81.8008811,"[{'height': 5312, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111018093543316333896"">Cindy Lane</a>'], 'photo_reference': 'CmRaAAAAn95wIZw9avshyw_ugrusK1t-6K6ETpRmhzXs71RQC1u3GhhWn2sn1MM3SPMioxAJc6CMmHVZmcDPlU2vi53nvM7a4EQ5da9xFtd9GtyG1h54TQVfXCYYAz2ew6PJhk9REhCpjqJ3UVyDwNFNbS2p3y2GGhRyavsRoYTFcLtW_NBKQH2tPxP7hQ', 'width': 2988}]",1,1,1,0,0,0,CmRaAAAAn95wIZw9avshyw_ugrusK1t-6K6ETpRmhzXs71RQC1u3GhhWn2sn1MM3SPMioxAJc6CMmHVZmcDPlU2vi53nvM7a4EQ5da9xFtd9GtyG1h54TQVfXCYYAz2ew6PJhk9REhCpjqJ3UVyDwNFNbS2p3y2GGhRyavsRoYTFcLtW_NBKQH2tPxP7hQ,https://lh3.googleusercontent.com/p/AF1QipN2Z2FqlHGIMt5oVhSgcpWTFC6H8Km6EKcXr-3O=s1600-w500-h500
The Ernest Hemingway Home and Museum,ChIJbbo4A-i20YgR6klffX8jpBM,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",8238,4.6,"907 Whitehead St, Key West, FL 33040, United States",24.551204300000002,-81.80061579999999,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106705958939489492663"">Aka Ehui</a>'], 'photo_reference': 'CmRaAAAAuz-Z_cV35pkJBnkpyYNRLYeAOaz5MrX7nU_2RvcFCG_k3UzzLcgT8_ZC3ZKImC9oWSQWVSZ9mQR3ruTMcNeb6F86Ed3GiWaYnie_ODLKmnEJRvCfReQ99rFVbedJjFzIEhCeNwXtrV2-4nVApk1gwBTyGhRNlir0rP5MuL-dhiDkXixb3zQwiw', 'width': 4032}]",1,1,1,0,0,0,CmRaAAAAuz-Z_cV35pkJBnkpyYNRLYeAOaz5MrX7nU_2RvcFCG_k3UzzLcgT8_ZC3ZKImC9oWSQWVSZ9mQR3ruTMcNeb6F86Ed3GiWaYnie_ODLKmnEJRvCfReQ99rFVbedJjFzIEhCeNwXtrV2-4nVApk1gwBTyGhRNlir0rP5MuL-dhiDkXixb3zQwiw,https://lh3.googleusercontent.com/p/AF1QipN4w-ehwVMq4sMQlwQqtip4f_m9wNn5O9p5u2Kd=s1600-w500-h500
USCGC Ingham Maritime Museum,ChIJ7ZqobO-20YgR7XZDEO-uCZw,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",636,4.7,"Southard St, Key West, FL 33041, United States",24.552236999999998,-81.807761,"[{'height': 1932, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106624713953723668508"">Patrick Boyle</a>'], 'photo_reference': 'CmRaAAAAO7GukvYfAjzNpaIHeKNdv1ZgxLTjhyENsdhSOsGEpfhWwmhrJ7785nqun70Dj_ybKJjv-IWwyY4iaIihjfZMYEuQU7cLlTqYmNUma3nqt3vKCSk9p4BFvouDerpEfSMmEhCB5Y0k2EKPL8l-4sEV72pCGhTrRVKkDjHEgxVa-oVpRQQv7dy3cQ', 'width': 2576}]",1,1,1,0,0,0,CmRaAAAAO7GukvYfAjzNpaIHeKNdv1ZgxLTjhyENsdhSOsGEpfhWwmhrJ7785nqun70Dj_ybKJjv-IWwyY4iaIihjfZMYEuQU7cLlTqYmNUma3nqt3vKCSk9p4BFvouDerpEfSMmEhCB5Y0k2EKPL8l-4sEV72pCGhTrRVKkDjHEgxVa-oVpRQQv7dy3cQ,https://lh3.googleusercontent.com/p/AF1QipN6Oo5Esjr3FMUGkJdqSScdUVXsLtbzWmyOH6dn=s1600-w500-h500
Fort East Martello Museum,ChIJtxPKbxax0YgRdRzvQe7F_Tk,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",479,4.5,"3501 S Roosevelt Blvd, Key West, FL 33040, United States",24.5523322,-81.7548188,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102420884829740578496"">Leandro Lemes</a>'], 'photo_reference': 'CmRaAAAAvjMN_mJqxetcp0O1nUcmLFhgLzcZ4A0KK9nQvLKJXE4Lsci23Si2GbzsaeyR6WwnCZQ8thCxDgYV_qXXAWKz5Kzp3Aw5a7ghEOVjklncKG5fq1TeOOCgJDlTwbMsawIgEhBCnoSoodD3RQPdMlzcY0daGhRMd3tiQMg0VWg_ytg7q2xS5u7Sgw', 'width': 2250}]",1,1,1,0,0,0,CmRaAAAAvjMN_mJqxetcp0O1nUcmLFhgLzcZ4A0KK9nQvLKJXE4Lsci23Si2GbzsaeyR6WwnCZQ8thCxDgYV_qXXAWKz5Kzp3Aw5a7ghEOVjklncKG5fq1TeOOCgJDlTwbMsawIgEhBCnoSoodD3RQPdMlzcY0daGhRMd3tiQMg0VWg_ytg7q2xS5u7Sgw,https://lh3.googleusercontent.com/p/AF1QipMkx2WQxr7kZ2Fyk00LCoAGN5lsGT4tCqlzFpqE=s1600-w500-h500
US1 – Mile Marker 0,ChIJaXybc-m20YgRYOXymweUeO4,"['store', 'point_of_interest', 'establishment']",2332,4.5,"501 Whitehead St, Key West, FL 33040, United States",24.555277399999998,-81.8039306,"[{'height': 383, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109061332361071929816"">A Google User</a>'], 'photo_reference': 'CmRaAAAAhratCImbrPc0DAeUu9J8BRdbICeqare4Tn6p50ghtP6lWyOSpVQz04PbcAwfdsDfHq99CBPg2gCnGF2Q5Qt2SebvFSdDpF8A9GQSO42W_LUA0tZnHjQRDdCetqbmcSFZEhDpCKEtXRMMxhPyl9sstj-fGhRCwDqae5QBxQlu6U9WtgpLxcTbYA', 'width': 680}]",0,0,0,0,0,0,CmRaAAAAhratCImbrPc0DAeUu9J8BRdbICeqare4Tn6p50ghtP6lWyOSpVQz04PbcAwfdsDfHq99CBPg2gCnGF2Q5Qt2SebvFSdDpF8A9GQSO42W_LUA0tZnHjQRDdCetqbmcSFZEhDpCKEtXRMMxhPyl9sstj-fGhRCwDqae5QBxQlu6U9WtgpLxcTbYA,https://lh3.googleusercontent.com/p/AF1QipNesJhiQkEtGVzyYFfcf1e6XpNn8oK5Lc2Lvrtm=s1600-w500-h383
Truman Little White House,ChIJ07mHpu620YgRbgDHlwwx3zQ,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",1806,4.6,"111 Front St, Key West, FL 33040, United States",24.5562608,-81.8069017,"[{'height': 666, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102918162944324157071"">Truman Little White House</a>'], 'photo_reference': 'CmRaAAAAy_HJtvY0Ts83m-Sz5RLR1V_K97dKm2_xSUl03pzkXxqB1sjzTFzvDR0oOjSVxadz5CUWMXd6abb7YRC9BOQGkch7AsKlEn0yFMMcpVaqQLPzndx0qnePTci5xhYbcJucEhCcARl-wUe4s0KdldfJl7cUGhTRZcGwVlO7bHMtU5ZXJl6SS6jQMg', 'width': 1000}]",1,1,1,0,0,0,CmRaAAAAy_HJtvY0Ts83m-Sz5RLR1V_K97dKm2_xSUl03pzkXxqB1sjzTFzvDR0oOjSVxadz5CUWMXd6abb7YRC9BOQGkch7AsKlEn0yFMMcpVaqQLPzndx0qnePTci5xhYbcJucEhCcARl-wUe4s0KdldfJl7cUGhTRZcGwVlO7bHMtU5ZXJl6SS6jQMg,https://lh3.googleusercontent.com/p/AF1QipPWI-imthEq7nQRvaqyaeLZ3MbeuQ2LPIBVXoiB=s1600-w500-h500
Nancy Forrester's Secret Garden,ChIJKZf3_cG20YgRQPZuGolqC7g,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",156,4.6,"518 Elizabeth St, Key West, FL 33040, United States",24.556753,-81.800198,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108919530460330194318"">Michael Kelly</a>'], 'photo_reference': 'CmRaAAAAAySRp3i6sAs7nymjU8f__FKBInUYRYtasKxKgcQ76V2NC_UY1Wwjg-6lg3jn_JdqTKQiLYuZx5-wsIwpT4p9fD_8j9hF8DjeWQ1DNZzaV6b5MkeRo5xLAbzGxPSuZHIyEhApYTMuIBBQnzKg7LF1sm3tGhQeA7nucZ_jsu1QitDIYTwDS4KjmQ', 'width': 1080}]",1,0,1,1,0,0,CmRaAAAAAySRp3i6sAs7nymjU8f__FKBInUYRYtasKxKgcQ76V2NC_UY1Wwjg-6lg3jn_JdqTKQiLYuZx5-wsIwpT4p9fD_8j9hF8DjeWQ1DNZzaV6b5MkeRo5xLAbzGxPSuZHIyEhApYTMuIBBQnzKg7LF1sm3tGhQeA7nucZ_jsu1QitDIYTwDS4KjmQ,https://lh3.googleusercontent.com/p/AF1QipPWZpyJdY8rmZz-JAAsmHthCqSX6Ud9b_CvI1xz=s1600-w500-h500
Key West Extreme Adventures | Eco Water Tours | Shark & Dolphin Tours,ChIJsx30Rey20YgRPmil2MVOVSM,"['travel_agency', 'point_of_interest', 'establishment']",46,4.7,"245 Front St, Key West, FL 33040, United States",24.557397100000003,-81.80778149999999,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113615273253991667330"">Jeff Allen</a>'], 'photo_reference': 'CmRaAAAAt4vEEaX9r1q9-srkKRb17HEjItplH0OxLhCBxCwdkeJuPXNeHmCxFbwV7-p5lS34h7VmX50VGH808StukqQ0mpPC-NoesNuOBS15j_wmvKrjo78Ag9ZnlSKKzlHLly9-EhDeGvis8ANBATW2IS2oeJ60GhSbSzQMwD2-0ozgUheaIjCaUg3X7g', 'width': 4032}]",0,0,0,0,1,0,CmRaAAAAt4vEEaX9r1q9-srkKRb17HEjItplH0OxLhCBxCwdkeJuPXNeHmCxFbwV7-p5lS34h7VmX50VGH808StukqQ0mpPC-NoesNuOBS15j_wmvKrjo78Ag9ZnlSKKzlHLly9-EhDeGvis8ANBATW2IS2oeJ60GhSbSzQMwD2-0ozgUheaIjCaUg3X7g,https://lh3.googleusercontent.com/p/AF1QipP03Bs1dH_W7rac0nauh6-IDBviY84oFTFNLgEO=s1600-w500-h500
