place_name,relevance_score,place_id,categories,number,rating,address,lat,lng,photos,photo_url
Wynwood Walls,0.9859344577722512,ChIJ98BffLK22YgRsymdIvOgjNA,"['tourist_attraction', 'museum', 'park', 'point_of_interest', 'establishment']",30388,4.7,"2520 NW 2nd Ave, Miami, FL 33127, United States",25.8011111,-80.199525,"[{'height': 1410, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115905194049423102348"">Wynwood Walls</a>'], 'photo_reference': 'CmRaAAAABbYOVJtIxeBC3yBWpngQrHEgOnoGnj4OVyPlCTZTpjNKzKJhq0Fb2PoBaU5awZ8n3iH5xUP_xb0oJQSJXm83VGYMcCzu__U_RFrZic3tZFdQzaEvV6YHjSymUlFCTjk2EhBt2QTU5_wXtSbwqrm8zpZxGhR5ZpV-n4IgqEOzbAEJfGP62Dg9fg', 'width': 2048}]",https://lh3.googleusercontent.com/p/AF1QipPzlSyw-ZHcs1O-YHyFeurXdac3fe3BAnyWE3nx=s1600-w500-h500
Zoo Miami,0.9605243383828269,ChIJFY7wCsjD2YgRn8R_2IMRjtw,"['zoo', 'tourist_attraction', 'park', 'point_of_interest', 'establishment']",13997,4.6,"12400 SW 152nd St, Miami, FL 33177, United States",25.6118809,-80.3976907,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107527389080204990642"">Ana Maria</a>'], 'photo_reference': 'CmRaAAAAKqco092ZArEacG1e4qncgCAsxSa3tGZHPYEbF-wVb9pLYX6Jr6tRBgvvTwARfMibpqYzw8HtKEXPg5BbytWVlGIsYmz7nft7sQpflN1jXxNRssM2r__sg1AvZPgcoILqEhAjSMC29MGrHX-aVlJQqtmaGhRN2lpalhtpBmAKO0HXo7OwhdfUqA', 'width': 6000}]",https://lh3.googleusercontent.com/p/AF1QipOvTa3YWyw7wA8v8NaLgSJrM2FQ1bY9O0FX4kVq=s1600-w500-h500
Everglades Holiday Park Airboat Tours and Rides,0.9597991597422406,ChIJ1TVM9DGg2YgRZ8aO0EX15tk,"['zoo', 'tourist_attraction', 'travel_agency', 'point_of_interest', 'establishment']",6665,4.4,"21940 Griffin Rd, Fort Lauderdale, FL 33332, United States",26.0604748,-80.44470340000001,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108558924113141840733"">Christian Tamayo</a>'], 'photo_reference': 'CmRaAAAAp88TDgllGALcNwXOEF7QI6uLIRySojlRt3HqXKfNN1OaMvsJRKORoZfJ0ZMkkDflS8DqBhTy6EXxFXzrBHrTH6AY-og9OId0PWfD8DdqHxK9Qm1F_M4E3lBaDQ-VhLNMEhB29D4lbmiRDsRQ7sOgODiZGhSXPai5jtgl1rKXH3zcpbUfslm5Bg', 'width': 3264}]",https://lh3.googleusercontent.com/p/AF1QipNB9Befg4ZTI8HWmc9B45qlx5SuEJy1DlM3dOSd=s1600-w500-h500
Las Olas Beach,0.9544063079495063,ChIJOY6sqC4A2YgRh300hmHIU-8,"['tourist_attraction', 'natural_feature', 'point_of_interest', 'establishment']",9567,4.7,"240 Las Olas Cir, Fort Lauderdale, FL 33316, United States",26.119199899999998,-80.10421099999999,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110603153206622321048"">Romana De Oliveira Rocha</a>'], 'photo_reference': 'CmRaAAAAOPFnJD4tzs0yfreahT1U1UeopF8USDg2V9URXKe63OolrIH5WeOIXSk9nfgxMRbLPso7OCIHn2wfa90vkJGrbYpwB789SarhxpZ7ktk2KRypZGkLGtBioaMud7zvyouwEhDUmqBZoRoyHxCWMRRWnxJzGhQ1nWVrqDAjocRJQ7LU76GLTflckw', 'width': 4032}]",https://lh3.googleusercontent.com/p/AF1QipMW0NP-lfiVp8bV6q4K_DPneUmZmDq6F48Yp9ue=s1600-w500-h500
Everglades Safari Park,0.9498993005216265,ChIJtxA5P6KS2YgR36Uv80HVpXY,"['amusement_park', 'tourist_attraction', 'travel_agency', 'park', 'point_of_interest', 'store', 'establishment']",3919,4.4,"26700 SW 8th St, Miami, FL 33194, United States",25.760509,-80.62594969999999,"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103280829129444035045"">Everglades Safari Park</a>'], 'photo_reference': 'CmRaAAAA8bnGKBv00asXa1-YivTIpg1RYk5SHK00JM6eRmLr0rbN-7Jus3gKe3sRbkG113NJIrGvM_wqzfLnX-ICnMF6ulXZmdxzVPLAcASISrzUcxlj5PHonecHwLT2Y-ehe7DmEhCObbWO7aNUIqX1KOYDJlvRGhTRm2Z0FUyfN53uQxZY4bk7ev-G9g', 'width': 2048}]",https://lh3.googleusercontent.com/p/AF1QipOiiy5qerSwBlJf5-Y8yXk7jgckvKnDzEzoIWuW=s1600-w500-h500
Sawgrass Recreation Park,0.9445113338987476,ChIJU2u3akkL2YgRofnAkGxBVqw,"['tourist_attraction', 'zoo', 'travel_agency', 'park', 'point_of_interest', 'establishment']",2969,4.4,"1006 North, US-27, Weston, FL 33327, United States",26.176485999999997,-80.4479806,"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104904249577798342851"">Sawgrass Recreation Park</a>'], 'photo_reference': 'CmRaAAAA0tBw1JS9MBp4uMGR7Xph-gRMERAus9X2cP-Q7Am0vT4vgE16u38vwIX6Xzu5SuIixkmJWbCfmYu71eigmWkGQX52RDQInOqrE6ysg4v50nj-s099r9If1a19vpzP7DlGEhDK7hfLiVd0T0zm0ba3dhwnGhQa2GVVDCqjdJWkcxFE64grVHuX6w', 'width': 2048}]",https://lh3.googleusercontent.com/p/AF1QipPUVAzjg64KjziGRhSJsEiCblIFg5r4xVljBlt8=s1600-w500-h500
Gator Park,0.9359463317538954,ChIJFfxfdiKT2YgRPMtHpNSo2fM,"['zoo', 'tourist_attraction', 'travel_agency', 'park', 'restaurant', 'food', 'point_of_interest', 'establishment']",2314,4.3,"24050 SW 8th St, Miami, FL 33194, United States",25.760632,-80.581148,"[{'height': 1278, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104610256967612310757"">Gator Park</a>'], 'photo_reference': 'CmRaAAAAOSVfLhyaUvnvj3YBr4mcEqqjeZx7ceaNgjTp3tlmFB9olzix9sALC19XFk3gVRMowZExMVqHwsYkmQWVDLbmCpCq30YES0tC_bTOCekJjZJrJlf7H4lkb_6Vh_66Kdz2EhAlmB_B_4cTnlVUPPcPpNB8GhQ-iJca48UZZujbQKt2OODA0tkuUw', 'width': 2048}]",https://lh3.googleusercontent.com/p/AF1QipOwed16ZZ8zFUChRxTzp6essOPlIsaHHHEARblv=s1600-w500-h500
Haulover Park,0.9183571877153585,ChIJndCi02ut2YgRgQiu2Kn9irk,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",8826,4.6,"10800 Collins Ave, Miami Beach, FL 33154, United States",25.9065987,-80.1244416,"[{'height': 2788, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117646270300608675928"">Guy Tal</a>'], 'photo_reference': 'CmRaAAAAayzJzWrYEIUwzFgasMxjGNb4KsvwmZf6AcSC5-mTCvheyQDs5k9kiwxyHPhM9-o18wTEGebw6tTNPSxnhNafqY--7X8e0KYCi_h56ceHPkAVN4v86VV2Mc1bOa_8N0BNEhBPUzxr4PhhUEnjyJNhUpPnGhQ1jHHmu1h3_5CSCq328R352HmINw', 'width': 3718}]",https://lh3.googleusercontent.com/p/AF1QipNLa6qsesxD6g9OA-nYZoA-5jYVJKzGTjdrsgtH=s1600-w500-h500
Jungle Queen Riverboat,0.9067475201353051,ChIJq81qhSUA2YgReR6zm924wNI,"['tourist_attraction', 'travel_agency', 'restaurant', 'food', 'point_of_interest', 'establishment']",1169,4.3,"801 Seabreeze Blvd, Fort Lauderdale, FL 33316, United States",26.111353899999997,-80.1060166,"[{'height': 2336, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106136577962954820072"">Yoav Rabinowitz</a>'], 'photo_reference': 'CmRaAAAA42h6rAkJFZbRU-TMHZHIjnE-4YUsw-WrFQ2ZwV1Dv_PyOwOQgHkTv3zDbIZl4DfQuE5qLiV1dVmMoHnwCP0l6VR869L6mPbAeHIfjBmWxJCmnCaY22YDRcudg9JnK8hNEhCCa4pWF0gnB9Jwl_rTq8uKGhQMwnWAYukaGoc6fGIiCtlZKNzjqA', 'width': 4160}]",https://lh3.googleusercontent.com/p/AF1QipPO5UZdP50wvLd50J1tahTIMV9e5cw4HTYP2q2a=s1600-w500-h500
Everglades Alligator Farm,0.9028985221285241,ChIJwUe1J63h2YgRXojWqEgoaSQ,"['zoo', 'tourist_attraction', 'park', 'point_of_interest', 'establishment']",3313,4.5,"40351 SW 192nd Ave, Homestead, FL 33034, United States",25.393168,-80.5012007,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106427043220028662018"">A Google User</a>'], 'photo_reference': 'CmRaAAAAeprnM55U4RA_DKXk9LK1EWGiIDmlW9K_krVKlxd2m6zvzeqOFR2PTq49iCiGRp-ds632qNZ15OJ6PRrWG4qmhFXLKrfrUU3xTFYYLaRuS4xDhteznP0EaztOlmI5PgBbEhBnC3K361OJ-DiVhlFVSJ7CGhRbynXElNOZxFTtFWvLZhbfvNA1CA', 'width': 5184}]",https://lh3.googleusercontent.com/p/AF1QipOaINjN0aXkhmO490qOng-P29ghKJeL2y1GsAOp=s1600-w500-h500
Thriller Miami Speedboat Adventures,0.8999076535442612,ChIJj2M3aSC02YgRgmxoMwWsT2s,"['travel_agency', 'point_of_interest', 'establishment']",1007,4.7,"401 biscayne blvd. #T5880, Miami, FL 33132, United States",25.777673,-80.185699,"[{'height': 1138, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110303537417968402689"">Thriller Miami Speedboat Adventures</a>'], 'photo_reference': 'CmRaAAAAdGL2FyNx5Emqo9mVwMtdm9EcORTZEYja-ZfCHbfZBk7K59P4xe3b41PJYUdH-y8-58gbb_N-AOqVtmTL1dKSnnrpL0DC4gWYrcyWYPdf2nvu47hWTVSnIwceZ535xSgrEhDH8mbRjSp3qK8iIVlfrMdvGhQtuSMn44xg85x74-kaWlJQHG4n4g', 'width': 2048}]",https://lh3.googleusercontent.com/p/AF1QipMtxtPGJo1JcVYhz1NMIos3r_2JtU5dK2GtsKVK=s1600-w500-h500
Vizcaya Museum & Gardens,0.8922307353165512,ChIJE5jqT1222YgR4STdDoStYPg,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",7229,4.7,"3251 S Miami Ave, Miami, FL 33129, United States",25.744386600000002,-80.21047469999999,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106858198022395151497"">Andres Vega</a>'], 'photo_reference': 'CmRaAAAAFTdux3IS6pRFiqwTT56BCSL78TNCv91DXdQmjSkY9XhJU3JtcL7i3XicLEaDXFQ-wLQsH2k67SIHsSQ96JmkTTzxD59hTWtR455TBk1DkdV3ERUJV7Mp8cO1aQAzNgqZEhAF4awFJKtP5p3ZkxEWEn5RGhRrLyCLgEJNYvogt3B1ybnA4A4jNA', 'width': 4032}]",https://lh3.googleusercontent.com/p/AF1QipPH8kNaMkNkje-auwOiyNMLFwrveJmebD3UQMfL=s1600-w500-h500
Mack's Fish Camp - Gladesmen Airboat Tours,0.8773618050995644,ChIJEY7iBYCY2YgRYxPtiKz24W0,"['campground', 'travel_agency', 'lodging', 'park', 'point_of_interest', 'establishment']",192,4.9,"Danell Lane & Krome ave USE THE WAZE APP & type in Mack's Fish Camp, Miami Lakes, FL 33018, United States",25.953049399999998,-80.4483488,"[{'height': 538, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108093209078648581950"">Mack&#39;s Fish Camp</a>'], 'photo_reference': 'CmRaAAAAOXNnPX3_dABV3tTxxDCUrEOGTsP_aD2yxzs_3RaXStVDnDZcBXWXg4F03RTOyZP8kGkj0th9MhbSHWlvfYoIH9CfwvBt13bMIEbVgBIeF4M0mSlx6c1HP-iO1k6ynqdpEhBJ_BVXBQ6rTSPIIu4m_2aFGhQ3VGjDKtFm8IQsG1gbxRN2mX4Eeg', 'width': 960}]",https://lh3.googleusercontent.com/p/AF1QipPwT0uEE2-1_5VFGLX4UAqd4y_UGmRXsipwr2u9=s1600-w500-h500
Morikami Museum and Japanese Gardens,0.875549110928957,ChIJD21Nxwsf2YgRChKXwM5KZpo,"['museum', 'tourist_attraction', 'park', 'point_of_interest', 'establishment']",4712,4.8,"4000 Morikami Park Rd, Delray Beach, FL 33446, United States",26.428643199999996,-80.1560857,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117636199759655204361"">Mark Hewitt</a>'], 'photo_reference': 'CmRaAAAAhvVk8P-HIDWa_aqBnKsNl9pMYjpHrLd-HiVMrjchRnYzWmf9vYKuEqu6NWsKD83-ijtFEJ827BNKiXiDALWWTa81yJwWFGn9XFG2cu3h5tMqehqxGEJFpv07ffVeS5CJEhAnd2iPr5ZHzCuZo8rkKogpGhTQ8CV2_F9e82eQ6R3eClHzhSsrrg', 'width': 4032}]",https://lh3.googleusercontent.com/p/AF1QipNEyCJ_KW4D50Qt1EP134lcwukZcfa7ogrecWGy=s1600-w500-h500
